# d/Mpc  VcmbG
   15.9   1485
  184.4  13924
  194.7  14697
   96.5   7195
  148.7  11270
   54.3   4055
   40.5   3834
   18.7   1357
  124.3   9202
  146.9   9851
   16.6   1114
  125.2   9066
   67.4   5209
  192.2  14339
  182.4  12822
  219.3  14671
  144.0  10750
  113.8   8224
   66.8   4630
  169.1  12303
  114.1   8712
   69.4   5016
  168.8  12993
  160.3  12033
   60.7   4838
   92.9   7095
  142.7  10625
   55.9   4428
   88.4   6863
  195.4  14338
  173.0  12837
  102.9   6778
  152.9  10800
   62.0   4866
  201.9  14657
  150.9  11483
   64.1   4571
  170.5  12261
  120.6   8176
   46.7   3019
    4.9    760
  184.3  14421
  180.3  12882
    3.9    783
  218.0  15333
  213.2  15531
  154.2  11610
   33.0   2550
    3.7     79
  190.2  13486
  105.4   6785
   57.2   4448
  187.6  13913
  139.2  10708
   99.6   8078
   36.7   3229
  221.3  15409
  218.0  15031
  200.7  13635
  179.3  13082
   23.0   1492
  206.7  15884
  176.4  12180
  160.1  11075
  157.0  10747
  152.0  11271
  124.9  10365
  118.0   9159
   23.7   1457
  230.5  16625
  209.7  14583
  173.1  11335
  130.9   9456
  112.8   8645
   78.1   5517
   63.0   4736
   59.6   4505
  205.3  15107
  200.6  14051
  196.3  14861
  166.0  11784
  163.3  10939
  154.8  10616
  141.0   9584
  140.3  10385
  139.1  11188
  137.0  10262
  135.3   9694
  130.8   9258
  128.4  10064
  119.0   9443
   97.0   7103
   80.2   6516
   79.7   6534
   69.2   5033
   13.3   1666
  223.5  15042
  216.0  15105
  201.3  15101
  179.3  12893
  178.1  14729
  171.2  11173
  163.6  13838
  141.3  10696
  137.8  11514
  126.5   9863
  119.6   8679
   78.4   5727
   35.5   2724
   27.4   1816
   22.8   2017
   15.2   1103
   11.8   1318
  360.4  25188
  285.2  20103
  155.0  12321
  152.4  10289
  140.9  11305
  126.2  10023
  115.3   7854
   98.7   6699
   86.8   6694
   74.1   5427
   70.4   4429
   35.7   2627
    4.5    743
  243.2  17026
  238.7  15284
  222.0  17341
  215.7  14817
  191.7  14255
  181.4  12731
  177.6  15114
  174.2  10245
  145.2   9436
  144.8  10786
  141.4  11386
  140.6  10274
  138.3  10278
  128.2   9013
  127.9  10202
  127.6   9061
  124.5   9346
  119.3   9069
  117.1   9809
   97.1   6848
   80.0   7071
   75.2   5967
   73.7   4802
   67.7   5231
   66.4   4759
   57.5   4736
   40.5   3593
   17.1   1228
  250.3  17448
  240.4  17387
  223.5  14682
  215.8  14922
  200.3  17425
  189.6  12009
  181.0  12688
  155.8  11179
  155.7  11066
  153.1  11371
  153.0  10591
  148.1  11083
  145.5  11569
  136.2   9959
  130.6   9722
  125.2   6974
  121.3   9003
  112.4   8298
  108.0   7240
  102.6   8088
   89.0   5907
   62.2   4449
   34.4   2154
   29.1   2931
   26.4   2381
   23.1   1480
    3.6    522
  206.9  14913
  197.2  13483
  195.6  15215
  191.8  12427
  186.0  15776
  183.3  15189
  179.4  12409
  179.2  11793
  174.1  14440
  170.6  11415
  171.0  12623
  166.8  12070
  161.6  12206
  157.9  10345
  152.5  12210
  145.7  10743
  143.7  12643
  139.2  10654
  135.0  11656
  133.4   9968
  126.8   9207
  126.5   9884
  110.9   7498
  105.7   9662
  104.5   7081
  100.2   7442
  100.1   7690
   94.9   8630
   90.6   6871
   70.5   5050
   64.6   5459
   47.6   4161
   35.5   3167
   34.1   2514
   30.8   3151
   25.0   2385
   24.5   1597
   23.8   2156
    7.2    724
  315.0  15528
  246.8  16002
  227.7  15757
  225.3  15789
  217.6  14322
  214.9  14113
  209.4  15141
  198.0  15271
  191.7  12934
  190.5  14527
  188.1  13739
  177.7  11388
  173.5  12045
  171.7  12153
  160.7  14152
  159.5  11231
  157.4  11558
  157.0  12210
  156.1  13334
  150.4  10935
  145.2  10249
  144.7   9825
  144.5  11161
  137.6   9848
  137.3   9688
  131.4   9865
  122.7   9936
  117.0   8851
  114.5   8898
  110.9   9337
  108.7   8743
  108.3   7572
