# d/Mpc VcmbaG
   15.9  1491 
  184.4 14434 
  194.7 15265 
   96.5  7331 
  148.7 11603 
   54.3  4099 
   40.5  3873 
   18.7  1362 
  124.3  9424 
  146.9 10106 
   16.6  1117 
  125.2  9282 
   67.4  5281 
  192.2 14880 
  182.4 13254 
  219.3 15237 
  144.0 11053 
  113.8  8401 
   66.8  4687 
  169.1 12700 
  114.1  8911 
   69.4  5083 
  168.8 13436 
  160.3 12413 
   60.7  4900 
   92.9  7227 
  142.7 10921 
   55.9  4480 
   88.4  6987 
  195.4 14879 
  173.0 13270 
  102.9  6899 
  152.9 11106 
   62.0  4929 
  201.9 15222 
  150.9 11829 
   64.1  4626 
  170.5 12656 
  120.6  8351 
   46.7  3043 
    4.9   762 
  184.3 14968 
  180.3 13318 
    3.9   785 
  218.0 15952 
  213.2 16166 
  154.2 11964 
   33.0  2567 
    3.7    79 
  190.2 13964 
  105.4  6906 
   57.2  4501 
  187.6 14422 
  139.2 11009 
   99.6  8249 
   36.7  3257 
  221.3 16034 
  218.0 15626 
  200.7 14124 
  179.3 13532 
   23.0  1498 
  206.7 16549 
  176.4 12569 
  160.1 11397 
  157.0 11050 
  152.0 11604 
  124.9 10647 
  118.0  9379 
   23.7  1463 
  230.5 17354 
  209.7 15143 
  173.1 11672 
  130.9  9690 
  112.8  8841 
   78.1  5597 
   63.0  4796 
   59.6  4559 
  205.3 15708 
  200.6 14570 
  196.3 15442 
  166.0 12148 
  163.3 11253 
  154.8 10912 
  141.0  9825 
  140.3 10668 
  139.1 11516 
  137.0 10538 
  135.3  9940 
  130.8  9483 
  128.4 10330 
  119.0  9677 
   97.0  7236 
   80.2  6628 
   79.7  6646 
   69.2  5100 
   13.3  1673 
  223.5 15637 
  216.0 15705 
  201.3 15701 
  179.3 13330 
  178.1 15300 
  171.2 11501 
  163.6 14341 
  141.3 10996 
  137.8 11862 
  126.5 10118 
  119.6  8877 
   78.4  5813 
   35.5  2744 
   27.4  1825 
   22.8  2028 
   15.2  1106 
   11.8  1323 
  360.4 26830 
  285.2 21172 
  155.0 12720 
  152.4 10567 
  140.9 11640 
  126.2 10286 
  115.3  8016 
   98.7  6817 
   86.8  6812 
   74.1  5505 
   70.4  4481 
   35.7  2645 
    4.5   744 
  243.2 17790 
  238.7 15899 
  222.0 18134 
  215.7 15395 
  191.7 14789 
  181.4 13157 
  177.6 15715 
  174.2 10520 
  145.2  9669 
  144.8 11091 
  141.4 11726 
  140.6 10551 
  138.3 10555 
  128.2  9226 
  127.9 10475 
  127.6  9276 
  124.5  9575 
  119.3  9285 
  117.1 10061 
   97.1  6971 
   80.0  7202 
   75.2  6061 
   73.7  4863 
   67.7  5303 
   66.4  4819 
   57.5  4795 
   40.5  3628 
   17.1  1232 
  250.3 18251 
  240.4 18184 
  223.5 15249 
  215.8 15508 
  200.3 18226 
  189.6 12388 
  181.0 13111 
  155.8 11507 
  155.7 11387 
  153.1 11710 
  153.0 10885 
  148.1 11405 
  145.5 11920 
  136.2 10219 
  130.6  9970 
  125.2  7102 
  121.3  9216 
  112.4  8479 
  108.0  7378 
  102.6  8260 
   89.0  5999 
   62.2  4502 
   34.4  2166 
   29.1  2954 
   26.4  2396 
   23.1  1486 
    3.6   523 
  206.9 15498 
  197.2 13961 
  195.6 15824 
  191.8 12833 
  186.0 16432 
  183.3 15796 
  179.4 12813 
  179.2 12158 
  174.1 14988 
  170.6 11757 
  171.0 13041 
  166.8 12452 
  161.6 12597 
  157.9 10626 
  152.5 12601 
  145.7 11046 
  143.7 13063 
  139.2 10952 
  135.0 12013 
  133.4 10229 
  126.8  9429 
  126.5 10140 
  110.9  7646 
  105.7  9907 
  104.5  7213 
  100.2  7587 
  100.1  7845 
   94.9  8825 
   90.6  6995 
   70.5  5117 
   64.6  5538 
   47.6  4207 
   35.5  3194 
   34.1  2531 
   30.8  3178 
   25.0  2400 
   24.5  1604 
   23.8  2168 
    7.2   725 
  315.0 16163 
  246.8 16677 
  227.7 16411 
  225.3 16446 
  217.6 14862 
  214.9 14635 
  209.4 15744 
  198.0 15885 
  191.7 13373 
  190.5 15082 
  188.1 14235 
  177.7 11728 
  173.5 12426 
  171.7 12541 
  160.7 14679 
  159.5 11562 
  157.4 11909 
  157.0 12601 
  156.1 13801 
  150.4 11249 
  145.2 10524 
  144.7 10078 
  144.5 11488 
  137.6 10102 
  137.3  9934 
  131.4 10120 
  122.7 10195 
  117.0  9056 
  114.5  9106 
  110.9  9566 
  108.7  8943 
  108.3  7722 
  107.0  7513 
  104.6  7853 
  101.2  8581 
   93.8  6655 
   89.9  5911 
   88.4  7141 
   85.2  7444 
   82.8  5530 
   77.5  5599 
   76.1  5122 
   72.5  4618 
   68.2  4880 
   64.8  4735 
   60.8  4788 
   53.2  4321 
   51.2  3946 
   34.0  2928 
   27.4  2071 
   26.5  1978 
   23.8  1469 
   20.3  1102 
   18.4  1253 
   16.9  1177 
   16.6  1442 
   16.2  1817 
   15.7  2097 
   14.7  1150 
    9.6   964 
    7.3   386 
  292.7 28349 
  256.8 17242 
  253.2 17396 
  243.9 17215 
  234.9 16398 
  231.4 16564 
  230.4 16160 
  225.1 16681 
  224.9 15227 
  224.7 11872 
  223.8 16158 
  222.0 17153 
  219.4 15180 
  217.6 16930 
  216.2 14681 
  208.2 13732 
  207.8 15097 
  205.9 14455 
  204.5 15624 
  204.4 14453 
  203.8 15946 
  201.6 14712 
  196.6 14349 
  196.4 15329 
  194.3 13761 
  194.1 16602 
  188.5 14826 
  183.0 15861 
