# Afstand[Mpc]  V_solkorr[km/s]
    0.032000   -16.827704
    0.034000    25.789185
    0.214000    52.828755
    0.263000     6.101385
    0.275000   -35.572389
    0.275000   -69.658072
    0.450000   397.957500
    0.500000   409.500780
    0.500000   434.215602
    0.630000   310.351253
    0.800000   375.554487
    0.900000    92.000601
    0.900000   588.692425
    0.900000   214.903276
    0.900000   429.419502
    1.000000   819.175180
    1.100000   591.871496
    1.100000   735.338076
    1.400000   613.191131
    1.700000  1041.671393
    2.000000   521.582194
    2.000000   839.846032
    2.000000   806.518989
    2.000000  1106.917189
