# pos/kpc    lam/Å   sig
-15.85966138 6611.79 0.13
-15.33930159 6611.8 0.04
-14.80762963 6611.5 0.22
-14.28726984 6611.05 0.15
-13.76691005 6611.27 0.04
-13.24655026 6611.36 0.04
-12.71487831 6611.63 0.11
-12.19451852 6611.72 0.37
-11.67415873 6612.0 0.24
-11.15153651 6612.31 0.24
-10.62891429 6611.72 0.09
-10.10629206 6612.24 0.06
-9.583669841 6612.45 0.06
-9.061047619 6612.81 0.05
-8.538425397 6612.85 0.14
-8.015803175 6612.86 0.24
-7.493180952 6613.46 0.17
-6.969427513 6613.58 0.09
-6.446805291 6613.33 0.06
-5.924183069 6613.8 0.09
-5.401560847 6613.69 0.11
-4.878938624 6613.67 0.07
-4.356316402 6613.73 0.12
-3.83369418 6613.34 0.10
-3.311071958 6613.41 0.07
-2.788449735 6613.94 0.06
-2.264696296 6614.36 0.10
-1.742074074 6614.79 0.13
-1.219451852 6615.33 0.08
-0.6969427513 6615.01 0.16
-0.1742074074 6615.47 0.16
0.3485279365 6615.59 0.08
0.8712632804 6615.6 0.08
1.393659259 6616.33 0.10
1.916281481 6616.86 0.07
2.438903704 6616.85 0.18
2.962657143 6616.79 0.28
3.485279365 6616.67 0.26
4.007901587 6616.75 0.08
4.53052381 6617.29 0.15
5.053146032 6617.28 0.14
5.575768254 6617.17 0.31
6.621012698 6617.25 0.15
7.143634921 6617.13 0.16
7.66738836 6617.85 0.07
8.190010582 6617.95 0.05
8.712632804 6618.04 0.04
9.235255026 6617.85 0.08
9.757877249 6617.67 0.12
10.28049947 6617.99 0.32
10.80312169 6618.46 0.42
11.84384127 6618.51 0.46
12.37551323 6617.74 0.14
12.89587302 6617.45 0.03
13.4162328 6617.93 0.06
13.93659259 6618.08 0.13
14.45695238 6618.57 0.46
