#   RA          dec
00h52m38.0s -72d48m01.1s
05h23m34.6s -69d45m22.0s
19h44m56.2s -14d47m51.3s
01h33m50.9s  30d39m36.6s
00h42m41.8s  40d51m54.6s
00h42m44.3s  41d16m07.5s
14h03m12.6s  54d20m55.5s
12h50m53.1s  41d07m12.9s
13h29m52.7s  47d11m42.9s
12h28m11.1s  44d05m36.8s
12h15m39.2s  36d19m36.8s
09h55m33.2s  69d03m55.1s
11h20m15.0s  12d59m29.4s
12h56m43.7s  21d40m57.6s
13h37m00.9s -29d51m56.7s
02h42m40.7s -00d00m47.9s
13h15m49.3s  42d01m45.7s
22h37m04.1s  34d24m56.8s
12h18m57.6s  47d18m13.4s
12h10m32.6s  39d24m21.1s
12h25m24.1s  18d11m27.9s
12h29m46.8s  08d00m01.4s
12h30m49.4s  12d23m28.0s
12h43m40.0s  11d33m09.7s
