#  d/Mpc   "v"/km/s
6.298 365.52
6.466 365.52
13.917 766.49
14.056 766.49
14.251 895.04
14.368 1047.44
12.303 1429.58
12.838 1429.58
11.973 1429.58
12.591 1429.58
19.892 1068.35
22.754 1104.19
19.849 1104.19
21.746 1381.84
15.790 1095.23
18.914 1301.26
18.780 1301.26
19.885 877.11
20.462 877.11
24.220 1390.79
25.385 1390.79
17.682 1375.87
16.774 1375.87
21.306 1375.87
17.486 1375.87
18.450 1375.87
22.424 1375.87
19.374 1539.96
20.210 1539.96
21.294 1369.91
22.009 2094.18
24.001 1462.40
23.855 1462.40
21.534 1972.10
21.037 1972.10
22.175 1510.13
27.171 1614.51
30.981 1802.30
24.294 1781.44
25.748 1781.44
23.958 1781.44
15.108 1647.31
17.169 1647.31
25.739 1897.64
24.987 1897.64
26.136 1897.64
25.351 1897.64
25.864 1650.29
25.970 1650.29
25.216 1650.29
36.661 1695.00
30.036 1638.36
30.887 1644.32
30.505 1644.32
22.027 2391.72
17.449 1775.48
29.464 1769.52
24.612 2424.43
27.282 2171.57
27.004 2171.57
27.404 2171.57
30.581 1826.14
28.895 2100.13
29.074 2100.13
28.932 2100.13
30.589 1995.93
30.899 1995.93
35.974 1984.01
35.123 1984.01
35.549 1984.01
29.048 2156.69
28.631 2156.69
33.499 2296.54
34.670 2296.54
33.090 2296.54
34.549 2353.06
29.563 2391.72
35.093 2391.72
33.937 2391.72
30.574 2587.93
31.148 2329.26
43.599 2263.81
31.685 2314.39
34.284 2314.39
34.286 2376.85
36.870 2570.10
35.253 2308.44
34.749 2424.43
29.597 2510.65
29.872 2510.65
29.065 2510.65
30.195 2778.08
37.042 2498.76
35.984 2546.32
35.178 2546.32
37.506 2882.01
37.608 2882.01
37.932 2882.01
29.014 3068.99
40.148 2977.00
43.490 2977.00
43.840 2977.00
44.164 2977.00
37.641 3134.26
37.029 3134.26
36.012 2855.29
37.946 2855.29
49.110 2685.99
33.466 3131.30
35.045 3131.30
37.650 3131.30
35.594 3107.56
37.967 2920.60
38.837 2920.60
46.087 2748.37
43.760 2748.37
44.798 3107.56
41.733 2923.57
